Precinct,Shape_Leng,Shape_Area
1,79979.409545000002254,47182160.414499998092651
5,18676.124259399999573,18088797.952599998563528
6,27182.610112999998819,22131930.519799999892712
71,29978.09426109999913,45331787.174400001764297
72,89179.296991600000183,104660613.42399999499321
7,17301.492549099999451,18363326.356699999421835
9,19773.401872499998717,21394013.375500001013279
20,27040.994382400000177,27671000.145700000226498
10,40043.175251300002856,27228634.237300001084805
13,27735.246247200000653,29509657.004700001329184
14,20974.70924340000056,20510163.834199998527765
17,26848.186306700001296,22274284.746599998325109
22,32701.349169699999038,38301388.663599997758865
18,42179.905777100000705,32280333.903299998492002
19,29563.145214799998939,48737422.002199999988079
28,17098.987087800000154,15289544.596000000834465
23,19438.112087599998631,21467730.834499999880791
24,20706.919075900001189,25479873.368400000035763
25,52199.007378399997833,44793124.964199997484684
26,23938.497090799999569,23836014.449400000274181
30,21627.000872600001458,18837442.233899999409914
32,25291.411359199999424,23009990.363899998366833
33,21744.958114299999579,25863070.571400001645088
34,45567.020300800002587,52113460.915200002491474
40,33335.222801900003105,60405278.990099996328354
41,48015.32432549999794,62143500.317400000989437
42,33516.163261200003035,44818131.900399997830391
43,62055.294099099999585,113314644.310000002384186
48,34316.34483960000216,43057143.451300002634525
44,31395.738553999999567,55530142.110100001096725
45,309438.54372900002636,271658867.916999995708466
46,29627.98609629999919,38323373.381499998271465
47,86528.681669199999305,160544795.852999985218048
49,45768.175921599999128,105809974.131999999284744
50,52232.41841199999908,136109730.272000014781952
67,43288.943138399998134,93744758.44030000269413
52,65671.23447500000475,80116628.667600005865097
60,66157.806586000006064,88169670.825200006365776
61,128323.272062000003643,134635158.935000002384186
62,51734.132232299998577,103206694.331000000238419
63,205127.230328000005102,229442366.400999993085861
66,52362.500777499997639,99520789.105100005865097
68,44530.867418200003158,110940958.562999993562698
69,119386.57563000000664,107299987.37899999320507
70,49075.67363170000317,82181407.815200001001358
73,33034.660939599998528,51771864.985100001096725
75,113993.607636000000639,183108125.662000000476837
77,34662.441291299997829,42651832.126599997282028
76,68148.125460600000224,48238155.217500001192093
78,39797.363806200002728,67677111.134900003671646
79,28256.602112500000658,44975546.931599996984005
81,28386.718992900001467,34485430.762199997901917
83,36940.194804400001885,56650181.433399997651577
84,38088.394888299997547,35462930.7212999984622
88,53342.43586299999879,42391696.960500001907349
90,51508.534720900002867,66149821.258000001311302
94,42426.664899299998069,65629988.166299998760223
100,283991.995333999977447,205207391.363999992609024
101,78817.837137599999551,84862317.654200002551079
102,52865.28106690000277,133314470.841999992728233
103,48549.937981700000819,100921594.95100000500679
104,75785.945507500000531,210504683.703000009059906
105,133233.481013999989955,347337133.730000019073486
106,106970.379308999996283,172528622.245999991893768
107,69289.88377319999563,207501246.613999992609024
108,73560.889039799993043,139601011.654000014066696
109,133153.690891000005649,322750732.890999972820282
110,72812.610864400005084,112103959.243000000715256
111,97511.083314400006202,260346907.812000006437302
112,41644.0361561000027,88945075.945299997925758
113,214332.334661000000779,389637037.132000029087067
114,113666.349342000001343,179998009.141999989748001
115,58272.20434760000353,113293878.523000001907349
120,96162.02263849999872,232541837.807000011205673
121,138107.011093000008259,475714632.25900000333786
122,154884.929300999996485,454780943.434000015258789
123,120869.367192000005161,460789481.48199999332428
